epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.3403,1.38974,3.7269,1.26631,0.00027,0.96667,0.00181,0.00063,0.98278,44.4154,0.89293,0.000650407,0.000650407,0.000650407
2,81.8256,1.32864,2.56472,1.28021,0.94733,0.59951,0.75571,0.48488,0.86752,39.8779,0.90351,0.00130403,0.00130403,0.00130403
3,103.894,1.34858,2.26733,1.30469,0.00015,0.03333,5e-05,2e-05,2.54916,164.63,3.93896,0.00194446,0.00194446,0.00194446
4,126.238,1.36891,1.9475,1.34023,0.75918,0.73565,0.78932,0.45971,0.98508,53.1545,1.00574,0.0019406,0.0019406,0.0019406
5,146.056,1.34911,1.72609,1.30576,0.86329,0.6,0.68691,0.42228,0.96559,6.00449,0.89681,0.0019208,0.0019208,0.0019208
6,170.266,1.23196,1.53871,1.23358,0.49405,0.74882,0.64027,0.44383,0.82907,3.43345,0.78881,0.001901,0.001901,0.001901
7,192.409,1.20245,1.35372,1.24136,0.52204,0.5,0.51487,0.30297,1.0091,9.25837,0.95448,0.0018812,0.0018812,0.0018812
8,212.186,1.22703,1.32859,1.26701,0.87804,0.72027,0.77034,0.51238,0.87905,12.8349,0.81846,0.0018614,0.0018614,0.0018614
9,233.501,1.21059,1.29625,1.27549,0.83841,0.86479,0.88516,0.52033,0.84247,3.25811,0.84452,0.0018416,0.0018416,0.0018416
10,254.479,1.15402,1.14759,1.23956,0.86077,0.82453,0.85298,0.63765,0.66876,60.5781,0.69597,0.0018218,0.0018218,0.0018218
11,275.525,1.15198,1.12063,1.21476,0.99032,0.9,0.96005,0.5836,1.08407,0.79427,0.9226,0.001802,0.001802,0.001802
12,298.08,1.18665,1.16333,1.23265,0.9315,0.93333,0.95161,0.59461,0.8983,1.04063,0.84774,0.0017822,0.0017822,0.0017822
13,317.998,1.09585,1.00406,1.2061,0.96871,0.76667,0.911,0.67226,0.80219,2.38368,0.74878,0.0017624,0.0017624,0.0017624
14,340.583,1.08179,0.98642,1.21105,0.96539,0.9298,0.96342,0.63186,0.80642,3.85865,0.76877,0.0017426,0.0017426,0.0017426
15,365.535,1.05134,0.95256,1.17466,0.95037,0.93333,0.95012,0.64252,0.76476,5.22115,0.7352,0.0017228,0.0017228,0.0017228
16,384.962,1.07946,0.99554,1.19048,0.96231,0.85148,0.90327,0.71152,0.63543,4.07164,0.68784,0.001703,0.001703,0.001703
17,407.209,1.0627,0.89116,1.18785,0.96197,0.84332,0.93108,0.58192,0.99836,0.89025,0.8821,0.0016832,0.0016832,0.0016832
18,427.675,1.08123,0.98226,1.18716,0.98982,0.8,0.90966,0.67069,0.73759,1.2105,0.73386,0.0016634,0.0016634,0.0016634
19,451.902,1.03929,0.93551,1.15021,0.97657,0.96667,0.96788,0.74108,0.71328,1.92463,0.70339,0.0016436,0.0016436,0.0016436
20,472.965,1.03515,0.89186,1.15124,0.96504,0.92033,0.95669,0.71451,0.69196,1.1791,0.71108,0.0016238,0.0016238,0.0016238
21,493.797,1.06968,0.89085,1.17593,0.95117,0.93333,0.9614,0.71055,0.73576,2.02889,0.72726,0.001604,0.001604,0.001604
22,515.517,1.05674,0.89731,1.15008,0.99117,0.93333,0.94923,0.69927,0.74514,2.1329,0.73455,0.0015842,0.0015842,0.0015842
23,536.567,1.11048,0.94147,1.2054,0.27264,0.93333,0.26802,0.19411,0.69351,15.5477,0.71591,0.0015644,0.0015644,0.0015644
24,558.208,1.01432,0.85571,1.1541,1,0.863,0.93637,0.70935,0.72239,0.97598,0.73551,0.0015446,0.0015446,0.0015446
25,581.348,1.02493,0.85999,1.16407,0.96665,0.96605,0.96507,0.72225,0.73375,2.00778,0.71148,0.0015248,0.0015248,0.0015248
